BELFORD ROXO;-22.7075;-43.429;RJBFR05;PROFESAORA MARLI DE CARVALHO PEREIRA, 64 - MIGUEL COUTO
BELFORD ROXO;-22.755015;-43.420466;RJBFR37;
BELFORD ROXO;-22.71167;-43.3397;RJBFR08;EMBAIBA, S/N - PARQUE COLONIAL
BELFORD ROXO;-22.73126;-43.36505;RJBFR10;
BELFORD ROXO;-22.73592;-43.333561;RJBFR11;PARABOLA, S/N - VILA ESPERANCA
BELFORD ROXO;-22.7494;-43.389;RJBFR12;
BELFORD ROXO;-22.7467;-43.4161;RJBFR13;
BELFORD ROXO;-22.7711;-43.3944;RJBFR14;
BELFORD ROXO;-22.729;-43.4269;RJBFR15;RAUL CORREIA, S/N - JARDIM DAS ACACIAS
BELFORD ROXO;-22.74403;-43.40803;RJBFR29;
BELFORD ROXO;-22.72084;-43.40645;RJBFR04;
BELFORD ROXO;-22.72334;-43.34074;RJBFR20;MOTA DA COSTA, S/N - VERGEL DOS FELIX
BELFORD ROXO;-22.74228;-43.36432;RJBFR36;
BELFORD ROXO;-22.759;-43.39415;RJBFR34;ITACIABA, S/N - BAIRRO DAS GRACAS
BELFORD ROXO;-22.72185;-43.36822;RJBFR31;
BELFORD ROXO;-22.739295;-43.422228;RJBFR27;TUPINAMBAS, 120 - HELIOPOLIS
BELFORD ROXO;-22.73969;-43.39932;RJBFR26;DOS SOLDADOS, 24 - JARDIM XAVANTES
BELFORD ROXO;-22.70752;-43.33291;RJBFR21;
BOM JARDIM;-22.1607;-42.4151;RJBJD01;
BOM JESUS DO ITABAPOANA;-21.138;-41.6677;RJBJI01;
CABO FRIO;-22.894722;-42.046667;RJCBF08;
CABO FRIO;-22.8863;-42.0283;RJCBF09;
CABO FRIO;-22.8772222222222;-42.0161111111111;RJCBF10;
CABO FRIO;-22.89236;-42.02734;RJCBF15;
CABO FRIO;-22.85443;-42.03866;RJCBF06;
CABO FRIO;-22.8791;-42.0446;RJCBF04;
CABO FRIO;-22.8825;-42.016109;RJCBF01;TREZE DE NOVEMBRO, S/N - CENTRO
CABO FRIO;-22.65481;-42.005032;RJBSJ02;AMARAL PEIXOTO, KM 132 - UNAMAR
CABO FRIO;-22.862499;-42.013611;RJCBF07;DO POMAR, S/N - PERO
CABO FRIO;-22.86194;-41.99028;RJCBF03;DO MOINHO, 19 - PERO
CABO FRIO;-22.89296;-42.0362;RJCBF02;
CABO FRIO;-22.6219;-42.0029;RJBSJ03;
CABO FRIO;-22.83527;-42.02772;RJCBF05;
CACHOEIRAS DE MACACU;-22.56119;-42.69135;RJCMCR3;
CACHOEIRAS DE MACACU;-22.60801;-42.74725;RJCMCR2;GRACINDO DE SOUZA PINTO, 600 - PAPUCAIA
CACHOEIRAS DE MACACU;-22.5196;-42.6956;RJCMCR4;
CACHOEIRAS DE MACACU;-22.3728;-42.5551;RJCMCR5;DO IMPERADOR, 30 - TEODORO DE OLIVEIRA
CACHOEIRAS DE MACACU;-22.545278;-42.779444;RJCMCR6;RIO FRIBURGO RJ 122, S/N - PAPUCAIA
CACHOEIRAS DE MACACU;-22.4697;-42.6515;RJCMC01;
CAMBUCI;-21.5771;-41.9129;RJCBC01;
CAMPOS DOS GOYTACAZES;-21.8317;-41.4106;RJCAMR3;
CAMPOS DOS GOYTACAZES;-21.726641;-41.322361;RJCAM01;
CAMPOS DOS GOYTACAZES;-21.9548;-41.1329;RJCAMR6;
CAMPOS DOS GOYTACAZES;-21.370833;-41.346111;RJCAMR5;PROJETADA, S/N - PARQUE VISAONDE DE URURAI
CAMPOS DOS GOYTACAZES;-21.47888;-41.33638;RJCAMR4;BR 101 - KM 55, S/N - MORRO DO COCO
CAMPOS DOS GOYTACAZES;-21.82893;-41.28092;RJCAM06;
CAMPOS DOS GOYTACAZES;-22.92713;-43.575204;RJCAGI9;
CAMPOS DOS GOYTACAZES;-21.76153;-41.30772;RJCAM02;DOMINGOS VIANA, 152/154 - PARQUE TURF CLUB
CAMPOS DOS GOYTACAZES;-21.7517;-41.337;RJCAM03;
CAMPOS DOS GOYTACAZES;-21.8548;-41.5436;RJCAMR2;RODOVIA  BR101 - KM 30, S/N - CENTRO
CAMPOS DOS GOYTACAZES;-21.779579;-41.321529;RJCAM05;
CAMPOS DOS GOYTACAZES;-21.79748;-41.29535;RJCAM07;
CAMPOS DOS GOYTACAZES;-21.6197204589843;-41.3113899230957;RJCAM08;
CAMPOS DOS GOYTACAZES;-21.76194;-41.332359;RJCAM09;
CAMPOS DOS GOYTACAZES;-22.04135;-41.04946;RJCAM10;
CAMPOS DOS GOYTACAZES;-21.7433;-41.3222;RJCAM11;
CAMPOS DOS GOYTACAZES;-21.734;-41.31349;RJCAM18;
CAMPOS DOS GOYTACAZES;-22.0087;-41.6709;RJCAMR1;
CAMPOS DOS GOYTACAZES;-21.7577;-41.3233;RJCAM04;BOULEVARD FRANC. DE PAULA CARNEIRO, 10/12 - CENTRO
CAMPOS DOS GOYTACAZES;-21.74932;-41.29962;RJCAM19;
CAMPOS DOS GOYTACAZES;-21.741871;-41.357849;RJCAM12;
CAMPOS DOS GOYTACAZES;-21.9455555555556;-41.0522222222222;RJCAM14;PRINCIPAL, S/N - MARRECAS
CAMPOS DOS GOYTACAZES;-21.780621;-41.296581;RJCAM13;
